來源	公布日期	證券代號	名稱	累計	處置條件	處置期間	處置措施
TPEX	107/04/26	3105	穩懋	1	因連續3個營業日達本中心作業要點第四條第一項第一款	107/04/27~107/05/11	第一次處置 / 5分
TPEX	107/04/24	3520	振維	2	因連續3個營業日達本中心作業要點第四條第一項第一款	107/04/25~107/05/09	再次處置 / 25分
TPEX	107/04/24	8932	宏大	2	因連續3個營業日達本中心作業要點第四條第一項第一款	107/04/25~107/05/09	再次處置 / 5分
TPEX	107/04/23	6150	撼訊	1	因連續3個營業日達本中心作業要點第四條第一項第一款	107/04/24~107/05/08	再次處置 / 20分
TWSE	107/04/23	911616	杜康-DR	39	連續五次	107/04/24～107/05/08	第二次處置 / 20分
TWSE	107/04/19	4545	銘鈺	1	連續五次	107/04/20～107/05/04	第一次處置 / 5分
TPEX	107/04/18	3628	盈正	4	因連續3個營業日達本中心作業要點第四條第一項第一款	107/04/19~107/05/03	再次處置 / 5分
TPEX	107/04/18	6150	撼訊	4	因連續3個營業日達本中心作業要點第四條第一項第一款	107/04/19~107/05/03	再次處置 / 20分
TPEX	107/04/18	6236	康呈	4	因連續3個營業日達本中心作業要點第四條第一項第一款	107/04/19~107/05/03	再次處置 / 25分
TPEX	107/04/18	8092	建暐	4	因連續3個營業日達本中心作業要點第四條第一項第一款	107/04/19~107/05/03	再次處置 / 5分
TWSE	107/04/17	2323	中環	1	連續三次	107/04/18～107/05/02	第一次處置 / 5分
TPEX	107/04/17	6118	建達	2	因連續3個營業日達本中心作業要點第四條第一項第一款	107/04/18~107/05/02	再次處置 / 20分
TPEX	107/04/17	6291	沛亨	2	因連續3個營業日達本中心作業要點第四條第一項第一款	107/04/18~107/05/02	再次處置 / 60分
TWSE	107/04/16	911616	杜康-DR	39	連續五次	107/04/17～107/04/30	第二次處置 / 20分
TWSE	107/04/13	2208	台船	1	連續三次	107/04/16～107/04/27	第一次處置 / 5分
TPEX	107/04/13	4965	商店街	4	因連續3個營業日達本中心作業要點第四條第一項第一款	107/04/16~107/04/27	再次處置 / 45分
TPEX	107/04/13	6236	康呈	4	因連續3個營業日達本中心作業要點第四條第一項第一款	107/04/16~107/04/27	再次處置 / 10分
TPEX	107/04/13	6284	佳邦	4	因連續3個營業日達本中心作業要點第四條第一項第一款	107/04/16~107/04/27	再次處置 / 5分
TPEX	107/04/13	6492	生華科	4	因連續3個營業日達本中心作業要點第四條第一項第一款	107/04/16~107/04/27	再次處置 / 5分
TPEX	107/04/12	3520	振維	2	因連續3個營業日達本中心作業要點第四條第一項第一款	107/04/13~107/04/26	再次處置 / 10分
TPEX	107/04/12	6291	沛亨	2	因連續3個營業日達本中心作業要點第四條第一項第一款	107/04/13~107/04/26	再次處置 / 45分
TWSE	107/04/11	1413	宏洲	1	連續五次	107/04/12～107/04/25	第一次處置 / 5分
TWSE	107/04/11	2013	中鋼構	2	連續三次	107/04/12～107/04/25	第二次處置 / 20分
TWSE	107/04/11	9958	世紀鋼	5	最近十個營業日已有六次	107/04/12～107/04/25	第一次處置 / 5分
TWSE	107/04/10	1514	亞力	1	連續三次	107/04/11～107/04/24	第一次處置 / 5分
TPEX	107/04/09	6472	保瑞	1	最近10個營業日內有6個營業日	107/04/10~107/04/23	再次處置 / 20分
TWSE	107/04/09	911616	杜康-DR	39	最近十個營業日已有六次	107/04/10～107/04/23	第二次處置 / 20分
TWSE	107/04/03	2013	中鋼構	2	連續三次	107/04/09～107/04/20	第一次處置 / 5分
TPEX	107/04/03	3115	寶島極	2	因連續3個營業日達本中心作業要點第四條第一項第一款	107/04/09~107/04/20	再次處置 / 5分
TPEX	107/04/03	6523	達爾膚	2	因連續3個營業日達本中心作業要點第四條第一項第一款	107/04/09~107/04/20	再次處置 / 5分
TWSE	107/04/02	3708	上緯投控	1	連續三次	107/04/03～107/04/19	第一次處置 / 5分
TPEX	107/04/02	37081	上緯投控一	5		107/04/03~107/04/19	再次處置 / 5分
TPEX	107/04/02	37082	上緯投控二	5		107/04/03~107/04/19	再次處置 / 5分
TWSE	107/04/02	4984	科納-KY	1	連續三次	107/04/03～107/04/19	第一次處置 / 5分
TPEX	107/04/02	5398	慕康生醫	5	因連續3個營業日達本中心作業要點第四條第一項第一款	107/04/03~107/04/19	再次處置 / 5分
TPEX	107/04/02	6101	寬魚國際	5	因連續3個營業日達本中心作業要點第四條第一項第一款	107/04/03~107/04/19	再次處置 / 5分
TPEX	107/04/02	8097	常珵	5	因連續3個營業日達本中心作業要點第四條第一項第一款	107/04/03~107/04/19	再次處置 / 5分
TPEX	107/03/29	3288	點晶	2	因連續3個營業日達本中心作業要點第四條第一項第一款	107/03/30~107/04/16	再次處置 / 45分
TPEX	107/03/29	6240	松崗	2	因連續3個營業日達本中心作業要點第四條第一項第一款	107/03/30~107/04/16	再次處置 / 20分
TPEX	107/03/28	1781	合世	2	因連續3個營業日達本中心作業要點第四條第一項第一款	107/03/29~107/04/13	再次處置 / 5分
TWSE	107/03/28	2348	海悅	2	連續三次	107/03/29～107/04/13	第一次處置 / 5分
TPEX	107/03/28	3064	泰偉	2	因連續3個營業日達本中心作業要點第四條第一項第一款	107/03/29~107/04/13	再次處置 / 45分
TWSE	107/03/28	6533	晶心科	1	連續三次	107/03/29～107/04/13	第一次處置 / 5分
TWSE	107/03/27	4144	康聯-KY	1	連續三次	107/03/28～107/04/12	第一次處置 / 5分
TPEX	107/03/27	5281	大峽谷-KY	1	因連續3個營業日達本中心作業要點第四條第一項第一款	107/03/28~107/04/12	再次處置 / 20分
TPEX	107/03/26	3089	遠昇	3	因連續3個營業日達本中心作業要點第四條第一項第一款	107/03/27~107/04/11	再次處置 / 45分
TPEX	107/03/26	6150	撼訊	3	連續5個營業日	107/03/27~107/04/11	再次處置 / 20分
TPEX	107/03/26	8409	商之器	3	因連續3個營業日達本中心作業要點第四條第一項第一款	107/03/27~107/04/11	再次處置 / 5分
TPEX	107/03/23	3073	凱柏實業	2	因連續3個營業日達本中心作業要點第四條第一項第一款	107/03/26~107/04/10	再次處置 / 5分
TPEX	107/03/23	6118	建達	2	因連續3個營業日達本中心作業要點第四條第一項第一款	107/03/26~107/04/10	再次處置 / 20分
TWSE	107/03/22	911616	杜康-DR	39	最近十個營業日已有六次	107/03/23～107/04/09	第二次處置 / 20分
TWSE	107/03/21	2388	威盛	3	連續三次	107/03/22～107/04/03	第二次處置 / 20分
TPEX	107/03/21	4303	信立	2	因連續3個營業日達本中心作業要點第四條第一項第一款	107/03/22~107/04/03	再次處置 / 5分
TPEX	107/03/21	5410	國眾	2	因連續3個營業日達本中心作業要點第四條第一項第一款	107/03/22~107/04/03	再次處置 / 5分
TPEX	107/03/20	5344	立衛	2	因連續3個營業日達本中心作業要點第四條第一項第一款	107/03/21~107/04/02	再次處置 / 5分
TPEX	107/03/20	6118	建達	2	因連續3個營業日達本中心作業要點第四條第一項第一款	107/03/21~107/04/02	再次處置 / 5分
TPEX	107/03/19	5386	青雲	1	因連續3個營業日達本中心作業要點第四條第一項第一款	107/03/20~107/03/31	再次處置 / 20分
TWSE	107/03/19	8201	無敵	1	連續三次	107/03/20～107/03/31	第一次處置 / 5分
